,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
23,"[28, 12, 14]",1930,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",727.198,2012-06-23,The Amazing Spider-Man,6.6,13733
24,"[10751, 12, 14]",615666,en,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…",725.485,2021-11-25,A Boy Called Christmas,7.9,206
25,"[28, 18]",763025,en,An amateur fighter is lured by a trafficking syndicate specializing in elite underground fighting where her brutal captor forces her to fight or face certain death.,668.536,2021-11-15,Never Back Down: Revolt,6.4,24
26,"[16, 35, 10751, 14]",508943,en,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,606.408,2021-06-17,Luca,8.0,5267
27,"[28, 12, 878, 18]",315635,en,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",654.897,2017-07-05,Spider-Man: Homecoming,7.4,17312
28,"[28, 12, 878]",429617,en,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",669.509,2019-06-28,Spider-Man: Far From Home,7.5,11172
29,[16],896221,en,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things don't go quite as expected.",815.34,2021-11-26,Trolls Holiday in Harmony,7.6,40
30,"[10751, 35]",654974,en,"After being left at home by himself for the holidays, 10-year-old Max Mercer must work to defend his home from a married couple who tries to steal back a valuable heirloom.",612.75,2021-11-12,Home Sweet Home Alone,5.4,242
31,[37],618162,en,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",579.421,2021-10-22,The Harder They Fall,6.8,418
32,"[28, 12, 878]",497698,en,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",541.436,2021-07-07,Black Widow,7.6,6247
33,"[12, 14, 35, 28]",451048,en,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",562.095,2021-07-28,Jungle Cruise,7.7,3506
34,"[10751, 35]",802217,en,"In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas.",563.599,2021-11-25,8-Bit Christmas,6.3,87
35,"[28, 12]",568620,en,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",542.926,2021-07-22,Snake Eyes: G.I. Joe Origins,6.8,872
36,"[10751, 14]",762879,en,"Rowena ""Ro"" is a high-spirited 11-year-old hoping to add more spunk to her Christmas celebrations when her parents’ divorce is going anything but smoothly.",705.923,2021-12-03,Christmas ...Again?!,7.3,21
37,"[28, 80, 53]",385128,en,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,519.189,2021-05-19,F9,7.4,4532
38,"[16, 28, 12, 878]",703771,en,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,513.26,2020-08-04,Deathstroke: Knights & Dragons - The Movie,7.0,304
39,"[16, 10751, 12, 35]",675445,en,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,552.504,2021-08-09,PAW Patrol: The Movie,7.6,736
40,"[16, 10751]",823609,en,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf. Aided and abetted by their three pet bats, our Monster Family zooms around the world again to save their friends, make new monstrous acquaintances and finally come to the realization that ‘Nobody’s Perfect’ – even those with flaws can find happiness.",507.904,2021-01-13,Monster Family 2,7.6,16
41,"[28, 12, 14]",436969,en,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",516.475,2021-07-28,The Suicide Squad,7.8,4966
42,"[16, 35, 10751]",774741,en,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,669.11,2021-12-03,Diary of a Wimpy Kid,7.1,58
43,"[28, 80, 53]",796499,en,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,489.496,2021-10-27,Army of Thieves,6.9,875
44,"[80, 28, 53]",630004,en,"When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",522.533,2021-03-03,The Vault,7.1,453
45,"[10402, 16]",554594,en,"A coati, a butterfly and a frog join forces in order to avoid an evil snake that is destroying their homes.",462.825,2021-10-22,Koati,7.5,22
46,"[16, 12, 35, 10751]",639721,en,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,493.797,2021-10-01,The Addams Family 2,7.3,637
47,"[28, 12, 16, 878, 35]",324857,en,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",480.539,2018-12-06,Spider-Man: Into the Spider-Verse,8.4,10308
48,"[28, 12, 14]",102382,en,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",498.52,2014-04-16,The Amazing Spider-Man 2,6.4,10032
49,"[35, 80]",337404,en,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",456.623,2021-05-26,Cruella,8.2,6113
50,"[27, 9648, 53]",576845,en,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",467.348,2021-10-21,Last Night in Soho,7.6,739
51,"[14, 28, 12]",559,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",471.781,2007-05-01,Spider-Man 3,6.3,10686
52,"[28, 14, 12]",460465,en,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",440.549,2021-04-07,Mortal Kombat,7.3,4118
53,"[878, 53, 9648]",675319,en,"In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",448.604,2021-09-03,Zone 414,5.6,108
54,"[16, 10751, 35, 878]",379686,en,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",445.52,2021-07-08,Space Jam: A New Legacy,7.2,2663
55,"[16, 35, 10751]",785545,en,Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings for the flock inadvertently leads to Timmy going missing. Can Shaun get Timmy back before he becomes someone else’s present?,579.806,2021-12-03,Shaun the Sheep: The Flight Before Christmas,6.9,18
56,"[14, 28]",557,en,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",453.519,2002-05-01,Spider-Man,7.2,14538
57,"[16, 35]",874299,en,"What happened to the children who lived through the Pandemic? Stan, Kyle, Cartman and Kenny survived but will never be the same Post Covid.",405.758,2021-11-25,South Park: Post Covid,7.4,56
58,"[18, 37]",600583,en,"A domineering but charismatic rancher wages a war  of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.",409.27,2021-09-13,The Power of the Dog,6.6,294
59,"[37, 28, 53]",887767,en,"Soon after a newlywed learns that her husband had her father shot down, she flees from the Callahan ranch in fear. She's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.",540.716,2021-12-03,Last Shoot Out,6.9,18
60,"[35, 10751, 18]",32471,en,"On the eve of Y2K, orphaned 12-year-old Beverly discovers a broken mixtape crafted by her teen parents. Raised by her grandmother - who struggles talking about her late daughter - Beverly sees the mixtape as a chance to finally learn more about her parents.",409.783,2021-12-03,Mixtape,7.6,29
61,"[27, 28, 878]",460458,en,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",394.905,2021-11-24,Resident Evil: Welcome to Raccoon City,5.8,132
62,"[28, 80, 53]",637649,en,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",408.549,2021-04-22,Wrath of Man,7.8,2768
63,"[28, 14, 878]",399566,en,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",383.255,2021-03-24,Godzilla vs. Kong,7.9,7311
64,"[27, 14, 9648]",839436,en,A group of soldiers are taken to the mountains of Wales to investigate a strange looking monster.,370.409,2021-06-15,Dragon Fury,6.4,28
65,"[12, 28, 878]",299536,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",380.843,2018-04-25,Avengers: Infinity War,8.3,23289
66,"[16, 10751, 12, 14, 35]",529203,en,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",360.816,2020-11-25,The Croods: A New Age,7.6,2688
67,"[28, 12, 14, 878]",791373,en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",368.966,2021-03-18,Zack Snyder's Justice League,8.4,6932
