,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
2566,"[14, 35, 10751]",2698,en,"Junior congressman Evan Baxter, whose wish is to ""change the world"" is heard by none other than God. When God appears with the perplexing request to build an ark, Evan is sure he is losing it.",21.527,2007-06-09,Evan Almighty,5.5,3435
2567,[18],95608,en,"When a young man learns that his overbearing father is having an affair, he tries to stop it, only to be seduced by the older woman as well.",23.334,2017-07-27,The Only Living Boy in New York,6.3,224
2568,[28],513691,en,"A classically-trained martial artist goes to work as a debt collector for the mob. The job seems easy enough, until one “client” pulls him into a situation deeper than could ever be expected.",23.086,2018-06-05,The Debt Collector,5.9,132
2569,[878],853838,en,"A compelling supernatural socio-political drama with sci-fi elements about Vincent, a young Black male who is struggling with his ability to communicate with the dead. In a moment of vulnerability, Vincent tells his roommate Monroe in confidence of his gift. Soon it is the talk of the community.  Director Bobby Huntley(written and directed by)  Stars Denise ArmstrongRonnie BakerSir Brodie",31.016,2021-12-12,Connect 2021,0.0,0
2570,"[18, 10749]",266856,en,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",20.529,2014-11-26,The Theory of Everything,7.9,8986
2571,"[18, 36]",603603,en,"The life of American woman Mildred Gillars and her lawyer, who struggles to redeem her reputation. Dubbed “Axis Sally” for broadcasting Nazi propaganda to American troops during World War II, Mildred’s story exposes the dark underbelly of the Third Reich's hate-filled propaganda machine, her eventual capture in Berlin, and subsequent trial for treason against the United States after the war.",28.607,2021-05-28,American Traitor: The Trial of Axis Sally,5.8,23
2572,"[53, 18, 27]",80278,en,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.",24.776,2012-09-09,The Impossible,7.3,5176
2573,"[14, 28, 53]",400106,en,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle.",26.732,2017-12-22,Bright,6.2,4704
2574,"[16, 35, 10751, 9648, 12, 27]",13151,en,"The Mystery Gang reunite and visit Moonscar Island, a remote island with a dark secret. Daphne wants more than just a villain in a costume, and they get more than they ever expected.",20.42,1998-09-22,Scooby-Doo on Zombie Island,7.6,519
2575,"[16, 10402, 10751]",349158,en,"Canterlot High meets its rival school, Crystal Prep Academy, in a competition that’s a long-standing tradition – The Friendship Games. Sunset Shimmer is tasked with keeping magic out of the games to avoid the appearance of impropriety while she and her friends compete against Crystal Prep’s top students led by someone with an equal amount of interest in Equestrian magic – this world’s TWILIGHT SPARKLE.",24.456,2015-10-24,My Little Pony: Equestria Girls: Friendship Games,7.2,71
2576,[27],708336,en,"The Tooth Fairy is back. 15 years after the events of the first movie, Corey, now grown up but mentally scarred has gone to a class reunion. However, the Tooth Fairy is back, and this time - You better have flossed properly.",22.601,2020-06-15,Return of the Tooth Fairy,6.5,673
2577,[10752],635744,en,"Major Ronan Jackson (Devon Sawa), an accomplished fighter pilot for the Israel Defense Forces and son of a U.S. Senator (Robert Patrick), is shot down while flying through Syrian airspace. After miraculously surviving the crash, Jackson is taken captive by a group of Hezbollah militiamen. A gripping and powerful story packed with hard-hitting action, Jarhead: Law of Return follows a squad of elite soldiers, led by Gunnery Sergeant Dave Torres (Amaury Nolasco), as they risk their own lives in the hopes of saving an ally they've never met.",27.34,2019-10-01,Jarhead: Law of Return,6.5,2351
2578,"[27, 53]",473149,en,"A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets.",27.329,2018-04-20,Traffik,6.2,368
2579,"[27, 9648]",11587,en,"Set fifteen years after the original film, The Exorcist III centers around the philosophical Lieutenant William F. Kinderman who is investigating a baffling series of murders around Georgetown that all contain the hallmarks of The Gemini, a deceased serial killer. It eventually leads him to a catatonic patient in a psychiatric hospital who has recently started to speak, claiming he is The Gemini and detailing the murders, but bears a striking resemblance to Father Damien Karras.",25.515,1990-08-17,The Exorcist III,6.2,471
2580,"[12, 18]",407436,en,"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins.",21.83,2018-11-25,Mowgli: Legend of the Jungle,6.5,2095
2581,"[28, 80, 14]",414,en,Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.,24.763,1995-06-16,Batman Forever,5.4,4029
2582,"[27, 53]",11442,en,"Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!",22.078,2002-07-01,Halloween: Resurrection,4.6,892
2583,"[16, 28, 12, 878]",724475,en,"A blast from Ben's past returning to do double the damage on Team Tennyson and planet Earth itself, forcing Ben to go interstellar to save the day.",20.803,2020-10-02,Ben 10 Versus the Universe: The Movie,7.8,90
2584,"[35, 10749]",38303,en,"History -- make that high school -- may repeat itself when Marni learns that Joanna, the mean girl from her past, is set to be her sister-in-law. Before the wedding bells toll, Marni must show her brother that a tiger doesn't change its stripes. On Marni's side is her mother, while Joanna's backed by her wealthy aunt.",22.064,2010-09-24,You Again,6.3,1041
2585,[27],764620,en,"Stuck within the time loop of ritualistic trauma, this film is an experimental horror film that takes place within the spectral plain of “Trans Girl Ether”, amplifying the palpitations of loss, grief, abandonment, and trauma. This story follows two sisters navigating defeatism and nihilism, conquering their fears of one another to learn the unending power of their bond.",14.255,2021-12-10,Love You Forever,0.0,0
2586,"[28, 12, 35, 80, 53]",944,en,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",23.36,1998-07-10,Lethal Weapon 4,6.6,1979
2587,"[12, 28]",270938,en,"Chapman is an ex-marine in Brazil's slums, battling the yakuza outfit who attacked his sister and left her for dead.",20.815,2014-09-05,Falcon Rising,6.2,259
2588,[27],609,en,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",24.058,1982-06-04,Poltergeist,7.1,2184
2589,[18],401104,en,A young woman dealing with anorexia meets an unconventional doctor who challenges her to face her condition and embrace life.,19.567,2017-01-22,To the Bone,7.2,3061
2590,"[878, 16, 28, 14]",537055,en,"Wonder Woman tries to help a troubled young girl who has fallen in with a deadly organization known as Villainy, Inc.",24.33,2019-10-04,Wonder Woman: Bloodlines,7.2,345
2591,"[53, 28, 80]",8068,en,"El Mariachi, a musician, arrives in a Mexican town and is mistaken as a hit-man. He runs into trouble with a local drug lord and seeks to avenge the death of his lover.",20.058,1995-08-25,Desperado,6.9,2159
2592,"[35, 10751, 18, 14]",9745,en,"A father, who can't keep his promises, dies in a car accident. One year later, he returns as a snowman, who has the final chance to put things right with his son before he is gone forever.",21.058,1998-12-10,Jack Frost,5.9,869
2593,"[14, 10749, 10751, 35]",14191,en,"Two teenage girls discover that mermaids really do exist after a violent storm washes one ashore. The mermaid, a sassy creature named Aquamarine, is determined to prove to her father that real love exists, and enlists the girls' help in winning the heart of a handsome lifeguard.",27.057,2006-03-03,Aquamarine,6.3,1207
2594,"[28, 18, 10752]",405965,en,A war criminal in hiding forms a relationship with his only connection to the outside world - his maid.,22.79,2018-11-29,An Ordinary Man,6.4,99
2595,"[14, 28, 53]",9495,en,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven—watched over by a hypnotic crow—returns from the grave to exact revenge.",25.753,1994-05-11,The Crow,7.5,2911
2596,[35],187596,en,"A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.",23.808,2014-05-02,Walk of Shame,5.9,1174
2597,[27],219247,en,Zombies come out at night and two families must survive until morning.,21.387,2013-10-08,Zombie Night,3.9,61
2598,"[18, 10749]",1278,en,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister.,20.303,2003-09-01,The Dreamers,7.3,2242
2599,"[27, 53, 10749, 9648]",201085,en,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.",20.758,2015-10-13,Crimson Peak,6.6,4106
2600,"[12, 37]",581032,en,"A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.",24.501,2020-12-25,News of the World,7.0,1211
2601,"[28, 18]",257447,en,"A disgruntled teenager, sent to do community service at a rundown Karate school, enters an MMA tournament to face the man who killed his parents.",23.592,2014-05-27,Tapped Out,5.9,43
2602,"[53, 878, 9648, 10749]",782,en,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",20.798,1997-09-07,Gattaca,7.6,4868
2603,"[27, 53]",9793,en,A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,25.048,2007-03-22,The Hills Have Eyes 2,5.5,1055
2604,"[35, 16, 10751, 14]",220845,en,"When Brainy Smurf is favored to win the annual Smurfberry Hunt for the ninth year in a row, Gutsy Smurf sets out to discover how Brainy wins every year. Gutsy’s investigation takes him into spooky Smurfy Hollow–and right into Gargamel’s trap! Can Brainy and Gutsy, with the help of Smurfette, put aside their rivalry before Gargamel captures them–or worse, they come face-to-face with the legendary ghost, the Headless Horseman?",22.589,2013-09-12,The Smurfs: The Legend of Smurfy Hollow,6.9,68
2605,[35],52449,en,"A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her.",21.047,2011-05-16,Bad Teacher,5.6,3909
2606,"[28, 12]",335787,en,"In an action-adventure epic that spans the globe, young street-smart Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",27.361,2022-02-10,Uncharted,0.0,0
2607,"[878, 53, 9648]",63,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",27.243,1995-12-29,Twelve Monkeys,7.6,6544
2608,[878],733317,en,"A robotics company vying to win a lucrative military contract team up with a corrupt CIA agent to conduct an illegal live field test. They deploy four weaponized prototype robots into a suspected drug manufacturing camp in the Golden Triangle, assuming they'd be killing drug runners that no one would miss. Six doctors on a humanitarian mission witness the brutal slaughter and become prime targets.",21.337,2020-11-19,Monsters of Man,6.7,195
2609,"[36, 18]",625169,en,"Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",19.445,2021-06-18,12 Mighty Orphans,7.9,60
2610,"[28, 53]",458594,en,"A grieving mother transforms herself into a vigilante following the murders of her husband and daughter, eluding the authorities to deliver her own personal brand of justice.",30.201,2018-09-06,Peppermint,6.7,1577
2611,"[10749, 18, 10402, 10770]",440596,en,"A romantic drama based on the story of Carley Allison, a promising 18 year old figure skater and singer who made medical history in her fight against a rare 1 in 3.5 billion type of sarcoma.",19.295,2017-02-10,Kiss and Cry,7.4,380
2612,"[28, 80, 53]",324542,en,"Undercover Las Vegas police officer Vincent Downs, who has got a lot of enemies, is caught in a high stakes web of corrupt cops and the mob-controlled casino underground. When a heist goes wrong, a crew of homicidal gangsters gets T, Downs’ teenage son. In one sleepless night, he will have to rescue his son T (who they got), evade an internal affairs investigation and bring the kidnappers to justice.",25.044,2017-01-12,Sleepless,5.9,1038
2613,[27],584147,en,"With only nightmares for childhood memories, Lily Stone returns to her family home to find out what happened to her parents. Despite the locals' warnings about an evil presence cursing the house, Lily crosses the threshold and discovers not all the ghosts that haunt us are dead.",22.535,2021-12-11,Apparitions,0.0,0
2614,"[28, 53]",523638,en,"In the treacherous frontier city of Samurai Town, a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange for retrieving the runaway. Strapped into a leather suit that will self-destruct within five days, the bandit sets off on a journey to find the young woman—and his own path to redemption.",24.363,2021-08-31,Prisoners of the Ghostland,5.3,183
2615,"[28, 18]",447665,en,"One year after the events of ""Kickboxer: Vengeance"", Kurt Sloan has vowed never to return to Thailand. However, while gearing up for a MMA title shot, he finds himself sedated and forced back into Thailand, this time in prison. He is there because the ones responsible want him to face a 6'8"" 400 lbs. beast named Mongkut and in return for the fight, Kurt will get two million dollars and his freedom back. Kurt at first refuses, in which a bounty is placed on his head as a way to force him to face Mongkut. Kurt soon learns he will have no other choice and will undergo his most rigorous training yet under some unexpected mentors in order to face Mongkut in hopes to regain his freedom.",19.791,2018-01-26,Kickboxer: Retaliation,5.4,211
2616,"[35, 10749]",150117,en,"After a quick courtship, two lovers hastily decide to tie the knot. As their first year of marriage unfolds, temptation and incompatibility put their relationship in jeopardy.",19.531,2013-02-08,I Give It a Year,5.5,612
2617,"[27, 53, 878]",531309,en,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",26.443,2019-05-09,Brightburn,6.1,2247
2618,"[12, 14, 28, 35, 53]",4442,en,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",23.275,2005-08-26,The Brothers Grimm,5.8,2204
2619,[37],10747,en,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",20.772,1976-07-14,The Outlaw Josey Wales,7.5,794
2620,"[28, 12, 878]",861,en,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company who manufacture memories. Something goes wrong during his memory implant turning Doug's life upside down and even to question what is reality and what isn't.",24.222,1990-06-01,Total Recall,7.3,4391
2621,"[878, 53, 18]",49047,en,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",20.223,2013-10-03,Gravity,7.2,12890
2622,"[16, 35, 10751]",560044,en,"When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their Old-Fashioned values to the contemporary world in order to create something new: The Modern Family.",19.797,2020-04-22,The Willoughbys,7.2,710
2623,"[27, 53]",11361,en,"Presumed dead after a shoot-out with the Haddonfield police, Michael Myers is secretly nursed back to health -- and returns a year later to kill again and once more targets his young niece, Jamie. Jamie is now recovering in the local children's hospital after attacking her stepmother and losing her voice. Her mental link with her evil uncle may be the key to uprooting her family tree.",27.267,1989-10-12,Halloween 5: The Revenge of Michael Myers,5.4,808
2624,"[35, 10749]",32856,en,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter. A grade-school boy wants flowers for his first true love. Two high school seniors plan first-time sex at noon. A TV sports reporter gets the assignment to find romance in LA. A star quarterback contemplates his future. Two strangers meet on a plane. Grandparents, together for years, face a crisis. An 'I Hate Valentine's Day' dinner beckons the lonely and the lied to.",24.52,2010-02-10,Valentine's Day,5.9,2580
2625,[18],199153,en,"When Ester becomes King Xerxes’ queen, her Cousin Mordecai and that despicable Haman engage in a dangerous game of intrigue for control of the young Persian King Xerxes.",23.131,2013-05-31,The Book of Esther,6.0,12
2626,"[878, 53]",548066,en,"The teenage girls of Vestalis Academy are meticulously trained in the art of being “clean girls,” practicing the virtues of perfect femininity. But what exactly are they being trained for? Vivien intends to find out.",19.526,2018-02-20,Level Sixteen,6.8,413
2627,"[12, 28, 35]",9486,en,"A lowly pencil pusher working for MI7, Johnny English is suddenly promoted to super spy after Agent One is assassinated and every other agent is blown up at his funeral. When a billionaire entrepreneur sponsors the exhibition of the Crown Jewels—and the valuable gems disappear on the opening night and on English's watch—the newly-designated agent must jump into action to find the thief and recover the missing gems.",17.764,2003-03-14,Johnny English,6.2,2665
2628,"[35, 10749]",41280,en,"Phillip Filmore is a naive, 15-year-old, preoccupied with sex, who develops a crush on Nicole Mallow, the new 30-something, French housekeeper and sitter to look after him when Phillip's father is out of town for the summer on a ""business"" trip. But Mr. Filmore's unscrupulous chauffeur, Lester Lewis, takes advantage of Phillip's crush on Nicole to hire her to seduce the youth, then draws her into a plot to fake her own death in a blackmail scheme aimed to drain Phillip's trust fund.",22.932,1981-08-21,Private Lessons,5.8,64
2629,[18],22683,en,Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.,25.014,2009-02-07,Gifted Hands: The Ben Carson Story,7.8,371
2630,"[10751, 35, 878, 12, 16]",16866,en,"When Earth astronaut Capt. Chuck Baker arrives on Planet 51 -- a world reminiscent of American suburbia circa 1950 -- he tries to avoid capture, recover his spaceship and make it home safely, all with the help of an empathetic little green being.",22.263,2009-11-19,Planet 51,5.8,1599
2631,"[10770, 18]",20544,en,A dramatization of the relationship between heart surgery pioneers Alfred Blalock and Vivien Thomas.,23.011,2004-05-30,Something the Lord Made,7.7,148
2632,"[35, 18]",156708,en,"Rachel is a quick-witted and lovable stay-at-home mom. Frustrated with the realities of preschool auctions, a lacklustre sex life and career that's gone kaput, she visits a strip club to spice up her marriage and meets McKenna, a stripper she adopts as her live-in nanny.",20.765,2013-08-30,Afternoon Delight,5.8,160
2633,"[28, 12, 53, 878]",698,en,"After Drax Industries' Moonraker space shuttle is hijacked, secret agent James Bond is assigned to investigate, traveling to California to meet the company's owner, the mysterious Hugo Drax. With the help of scientist Dr. Holly Goodhead, Bond soon uncovers Drax's nefarious plans for humanity, all the while fending off an old nemesis, Jaws, and venturing to Venice, Rio, the Amazon...and outer space.",24.009,1979-06-26,Moonraker,6.1,1411
2634,[35],582570,en,"Father-to-be Alan is shocked to learn that he was born a sextuplet. With his newfound brother Russell riding shotgun, the duo sets out on a hilarious journey to reunite with their remaining long-lost siblings.",23.03,2019-08-16,Sextuplets,6.3,680
2635,"[28, 80, 18, 53]",629017,en,"A 17-year-old girl uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",20.797,2020-09-10,Run Hide Fight,6.7,174
2636,"[878, 28, 27]",10216,en,"Having just returned from a mission to Mars, Commander Ross isn't exactly himself. He's slowly becoming a terrifying alien entity with one goal -- to procreate with human women! When countless women suffer gruesome deaths after bearing half-alien offspring, scientist Laura Baker and hired assassin Press Lennox use Eve, a more tempered alien clone, to find Ross and his brood. Before long Eve escapes to mate with Ross.",19.756,1998-04-10,Species II,5.1,485
2637,"[35, 10749, 18]",17097,en,"Sex is a background to examine intimacy and vulnerability. Looks at the complexity of modern day relationships told through eight separate couples. Through dialogue and compromising situations, the film takes us from the beginning of a relationship to the aftermath of one, and examines every stage in between seeing humor within the drama, heartache and confusion of it all.",25.756,2007-09-26,After Sex,5.4,171
2638,"[12, 28, 35]",12208,en,"Sir James Bond is called back out of retirement to stop SMERSH. In order to trick SMERSH, James thinks up the ultimate plan - that every agent will be named 'James Bond'. One of the Bonds, whose real name is Evelyn Tremble is sent to take on Le Chiffre in a game of baccarat, but all the Bonds get more than they can handle.",15.754,1967-04-13,Casino Royale,5.4,512
2639,[35],376659,en,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",23.51,2016-07-28,Bad Moms,6.5,3511
2640,"[12, 878, 10751, 14]",407451,en,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",20.513,2018-03-08,A Wrinkle in Time,5.1,1539
2641,"[9648, 53, 80, 18, 27]",544431,en,A picture-perfect family is torn apart after Tyler finds a cache of disturbing images in his father's possession. He begins to suspect that the man he trusts most in the world may be responsible for the murder of 13 women ten years prior.,23.765,2018-11-16,The Clovehitch Killer,6.4,395
2642,"[28, 12, 9648, 53]",6637,en,"Benjamin Franklin Gates and Dr. Abigail Chase re-team with Riley Poole and, now armed with a stack of long-lost pages from John Wilkes Booth's diary, Ben must follow a clue left there to prove his ancestor's innocence in the assassination of Abraham Lincoln.",23.251,2007-12-13,National Treasure: Book of Secrets,6.3,4112
2643,"[878, 27]",515454,en,"Looking for an escape from her recurring nightmares, 18-year-old Sarah submits to a university sleep study, but soon realizes she's become the conduit to a frightening new discovery.",26.538,2020-09-24,Come True,5.9,115
2644,"[878, 12, 28]",2135,en,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds mankind divided into two warring races.",20.747,2002-03-04,The Time Machine,6.2,1727
2645,"[10751, 18, 35]",340270,en,The film follows a man with an unwanted gift for healing who meets a teenager with cancer who helps him to find himself.,16.505,2017-02-17,The Healer,7.2,391
2646,"[18, 36]",310307,en,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",30.279,2016-09-13,The Founder,7.1,3755
2647,[27],586097,en,"In 1951 USSR, as the Cold War intensifies, infamous dictator Joseph Stalin is suffering with illness and his death is imminent. Meanwhile, KGB agent Stoichkov discovers a mysterious stage show in the Baltic region featuring three creepy dolls - Robert, Kalashnikov and Miss Cyclops. Spellbound by the lifelike animation displayed by the dolls on stage, Stoichkov investigates the show's host and discovers he is a German Toymaker who owns a mystical book which holds the key to eternal life. Believing the Toymaker and his book will help Stalin escape death, Stoichkov kidnaps him and they board a plane to Moscow. But the Toymaker's living creations have followed them. When the plane is in mid air all hell breaks loose as Stoichkov and his team of KGB agents realize the three dolls are on board and will stop at nothing to rescue their puppet master. Fasten your seat belt and prepare for blood soaked toy terror at 30,000 feet.",26.773,2019-06-04,Robert Reborn,4.5,17
2648,"[18, 27, 53]",474764,en,"When a father is forced to abruptly depart for work, he leaves his children, Aidan and Mia, at their holiday home in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.",24.919,2020-01-16,The Lodge,6.1,774
2649,[35],345922,en,"When one school teacher gets the other fired, he is challenged to an after-school fight.",18.251,2017-02-16,Fist Fight,6.1,1011
2650,"[28, 18, 53]",464889,en,"A ruthless Columbian drug lord has been using a cold-blooded assassin nicknamed The Devil to wipe out his competition. Sensing a threat to the US, the DEA hires a Marine sniper to kill The Devil, and capture the kingpin.",25.752,2017-10-03,Sniper: Ultimate Kill,6.5,211
2651,"[27, 53, 9648]",300665,en,"A young nurse is kidnapped by a group of violent teens who escape from a mental hospital and take her on the road trip from hell. Pursued by an equally deranged lawman out for revenge, one of the teens is destined for tragedy and horrors that will destroy his mind, moulding him into a monster named Leatherface.",27.752,2017-09-14,Leatherface,5.5,918
2652,"[16, 10751, 35, 10770]",13187,en,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",18.992,1965-12-09,A Charlie Brown Christmas,7.7,448
2653,"[53, 18, 9648, 80]",446021,en,"Lake Tahoe, 1969. Seven strangers, each one with a secret to bury, meet at El Royale, a decadent motel with a dark past. In the course of a fateful night, everyone will have one last shot at redemption.",18.454,2018-10-04,Bad Times at the El Royale,6.8,2726
2654,"[14, 12, 28]",27022,en,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",23.992,2010-07-13,The Sorcerer's Apprentice,6.1,4086
2655,[18],389015,en,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.",25.4,2017-12-08,"I, Tonya",7.5,4627
2656,"[28, 18, 9648]",1428,en,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.",17.74,2003-09-11,Once Upon a Time in Mexico,6.3,1626
2657,"[10751, 35, 12, 80]",11212,en,"Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents, he lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately, not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnapers who pretend to be photographers from the newspaper. Successfully kidnaping Baby Bink, they have a harder time keeping hold of the rascal, who not only keeps one step ahead of them, but seems to be more than a little bit smarter than the three bumbling criminals.",21.486,1994-07-01,Baby's Day Out,6.2,957
2658,"[99, 10402]",776527,en,"During the same summer as Woodstock, over 300,000 people attended the Harlem Cultural Festival, celebrating African American music and culture, and promoting Black pride and unity. The footage from the festival sat in a basement, unseen for over 50 years, keeping this incredible event in America's history lost—until now.",24.61,2021-07-02,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",7.9,42
2659,[],541568,en,"We’ve come to the end of another sexy semester at Camella Swales U, and it’s time for these ladies to cram for the final exam.  Join us on a candid campus tour and visit the voluptuous valedictorians, hot and horny honor students, and unabashed undergrads who make up our student body.  Headmistress Jackie presents her Dean’s list, featuring only those ladies with the highest GPA (Girly Poontang Appreciation) score.  And believe us, she grades on a curve.  So catch all the action as these dynamos in d-cups spread more than their wings and sexplore new horizons as they go all the way down on higher education.",25.847,2018-08-01,Sex School: Final Exams,5.6,11
2660,"[16, 12, 35, 10751]",770254,en,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",30.16,2021-12-03,Back to the Outback,7.7,13
2661,"[10770, 35, 10749]",874239,en,"Three reunited sisters discover their late father planned one last scavenger hunt - an annual holiday tradition when they were young. As their sisterly bond gets rekindled, they soon learn important lessons about what they want in life and in love.",14.136,2021-11-18,Every Time a Bell Rings,5.5,4
2662,"[18, 53, 9648]",49517,en,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6.",23.483,2011-09-16,Tinker Tailor Soldier Spy,6.6,2007
2663,"[35, 18, 10751]",788,en,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",27.728,1993-11-24,Mrs. Doubtfire,7.2,4880
